"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000413307.4","CAMSAP2","38.46933333333333","7.610130000000001","0.00999202660487748","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000409670.3","CAPG","0.36332000000000003","54.950720000000004","0.007942848388122457","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000453973.3","CAPG","0","370.03720000000004","0.007935308568118722","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000368078.5","CASQ1","282.1023333333333","1.4038846","0.009530293133985334","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000437034.4","CAST","0.2689873333333333","19.369958","0.008563201285130403","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000438603.3","CBLB","0.22617299999999999","43.60738","0.005890847867583804","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000269397.6","CBX4","0.22381666666666666","2.65512","0.009227420779398062","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000617445.2","CCDC28A","1.9014533333333334","14.590174000000001","0.007259310170488341","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000227507.2","CCND1","0.45930733333333335","94.18664","0.00763465338828605","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000536559.1","CCND1","0","189.80112000000003","0.009830405315966203","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000400926.3","CCR6","0","0.1325002","0.009609553135566646","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000530961.3","CCS","0.5205883333333333","9.3225","0.005863916494712608","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000618265.2","CD177","0","1.9371639999999999","0.007938075445657874","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000354848.3","CD46","0.8419126666666666","37.38188","0.004533810819779586","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000552164.3","CD63","0","584.0738","0.005800324100336151","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000551173.3","CD63","0.18657933333333332","233.5464","0.008388551077690301","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000546939.3","CD63","6.242383333333333","332.5512","0.008534693022127138","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000397359.5","CDH24","0","0.19419460000000002","0.009155346090897864","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000514738.3","CDH6","0.5499463333333333","5.69611","0.00921307739376047","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000570137.4","CDYL2","0.06822733333333333","1.871208","0.009995594701168405","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000451767.4","CFAP61","0.16716699999999998","143.81558","0.0031800558526907316","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000295497.9","CHN1","0.19370833333333334","8.246504","0.007887708540258949","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000433765.3","CHRM4","0","8.36773","0.005878263348169524","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000549016.1","CHST11","0","55.283100000000005","0.005888184877093995","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000221476.3","CKM","2373.7433333333333","7.381842000000001","0.0037897379943480696","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000375779.4","CLIC1","2.532526666666667","39.98629999999999","0.005527318416686245","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000530742.3","CLINT1","0.18527766666666667","3.686008","0.00921794870498489","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000249806.7","CLN6","0.27241733333333334","10.056692000000002","0.00851640838741219","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000337392.7","CLPTM1","0.9561076666666667","8.278832","0.006296591612707272","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000519472.3","CLU","0","1505.732","0.005446495891029066","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000522098.1","CLU","0.124407","208.91253999999998","0.0058552618067937556","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000446378.2","CMYA5","614.472","4.946074","0.0027176297413052625","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000370206.6","CNN3","0","9.390468","0.0071220505075149185","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000433628.2","CNNM2","0.131374","2.3432760000000004","0.008698666171615703","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000569240.3","CNOT1","5.091526666666667","14.14254","0.005517736799057251","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000455146.5","COG6","0.4943413333333333","6.449271999999999","0.009608946452553153","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000376075.3","COX4I2","0.8181433333333333","6.080612","0.003300967354263751","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000378669.3","COX7A2L","0","1.3776039999999998","0.009825463494829175","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000234301.2","COX7A2L","1.0332856666666668","54.47045999999999","0.004989323945534082","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000264613.8","CP","0.21554399999999999","50.7293","0.002779511048171439","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000616140.1","CPSF1","0.6022626666666667","2.772012","0.00829920251481528","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000298875.6","CPSF2","0","0.259701","0.004984050887287584","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000238112.5","CPSF3","3.38055","17.16598","0.0048677978716409895","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000312108.9","CPT1B","3.1094466666666665","0.1245492","0.004505248257956586","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000612187.2","CPVL","0.8365826666666667","233.68338000000003","0.009585010535470603","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000432534.3","CPVL","0","475.28100000000006","0.0048269902556956415","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000515399.3","CTBP1","0.07227","10.352826","0.0038183161110615224","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000433211.4","CTNNA3","4.389563333333332","0.24658560000000002","0.0033888043875915977","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000545309.2","CTNNA3","9.459166666666667","0.2108252","0.004243386165474969","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000191018.7","CTSA","0.8722643333333333","37.22988","0.0056885619977250544","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000534149.3","CTSB","0.2936396666666667","166.11878000000002","0.0051825498511307265","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000236671.4","CTSD","2.533703333333333","117.98548000000001","0.0038940988819903912","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000340342.8","CTSL","8.637273333333333","412.26759999999996","0.0056000870624149735","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000343150.7","CTSL","0.34310833333333335","19.244580000000003","0.0034963083938976875","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000271277.8","CTTNBP2NL","0.21725833333333333","2.9847740000000003","0.009519866554043365","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000369681.7","CYB5R4","0.294122","2.186926","0.007387814588641919","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000293230.7","CYGB","0.335428","9.44122","0.002702080286019594","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000268053.8","CYP11A1","0","2.269518","0.006666253659663327","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000369887.3","CYP17A1","2.1371166666666666","1979.0396","0.005734152193780018","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000494774.3","DBNL","0.037026666666666666","7.973662","0.0024231720768059265","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000254337.8","DCAF15","0.5214406666666668","3.94617","0.0078000439563841095","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000550563.3","DCN","234.273","1.0651238","0.0045466969837415425","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000543658.3","DDB1","0.07738366666666667","114.65794000000001","0.0027018342461846818","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000547303.3","DDIT3","3.7661933333333337","52.4434","0.009610893778367898","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000464364.1","DDOST","11.117063333333334","64.63932","0.002289632463204085","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000393657.4","DDX19B","0.11466266666666665","3.963978","0.003950422288913734","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000369752.5","DENND2D","0.09952533333333334","10.01136","0.0037960967464364024","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000342947.5","DFNA5","0.8138763333333333","11.143186","0.008408775304810382","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000509465.3","DGKQ","0","0.4081662","0.007777855508399604","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000454345.3","DGKZ","0.7724226666666668","4.068036","0.008111001611412223","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000418996.3","DGUOK","0","24.49134","0.009602596042546145","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000284690.3","DHX32","5.235346666666666","22.346120000000003","0.006282995463492779","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000340491.6","DLGAP4","0.21122133333333334","3.8233679999999994","0.0022635568369342735","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000311085.8","DMXL1","1.69018","10.332939999999999","0.008897577809526968","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000264065.9","DNAJC10","0","0.2511844","0.006259416135973591","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000216068.6","DNAL4","0.074808","3.011156","0.006905778847644049","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000294618.9","DOCK6","0.33182533333333336","4.401316","0.008718049545167047","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000338487.5","DUPD1","12.907566666666666","0.061199800000000006","0.0021783311020684344","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000372700.5","DUSP13","20.526966666666667","0.0552122","0.0037522859706715273","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000369583.3","DUSP5","0","3.09213","0.009566794363810851","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000558472.3","DUT","0.09358333333333334","24.23212","0.009613518830481617","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000437573.3","E2F6","0.16080133333333332","9.615362000000001","0.009180833080041518","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000396842.4","EAF1","0","0.4428744","0.0092261179962978","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000454859.5","ECHDC1","0.18967299999999998","7.147844000000001","0.008869065748312623","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000374492.5","EDEM2","0.134829","7.538526","0.008796532225951514","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000568269.3","EEF2K","1.75732","26.891160000000003","0.004010820704987683","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000375980.6","EFHD2","0.26637466666666665","9.85349","0.00760802962510936","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000588374.1","EFTUD2","0","12.074625999999999","0.009248484005421349","FPKM"
