"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc003xrx.2","BC039537","0.038978171005939276","0.26964762469348563","0.00931828445734318","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc003isy.1","BC040577","0.0603798893527433","0.2805081647438822","0.007710167445056676","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001mie.3","BC073899","0.09253856160714377","0.3172243695647765","0.009000352061980327","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc002iwb.2","BZRAP1-AS1","0.10831503401223426","1.6571878522867962","0.004879992271224602","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc002yqs.2","C21orf49","0.05675052590916363","0.32214738493894485","0.008747447033527533","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc003bit.3","C22orf34","0.012432171482726755","0.10284337348894995","0.00923734955450581","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001tcg.1","CLLU1","0.0082649914870417","1.0770949023356176","0.00808078089343291","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001muk.2","CSTF3-AS1","0.009450644434443838","0.05740320718399263","0.005700229239942951","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001xdn.1","FLJ31306","1.0433508914025085","2.5219518885235344","0.005588384091230528","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc010apd.1","FLJ31306","0.25235586122484616","0.9079800841968036","0.008654640022047693","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc010qni.1","FLJ37201","0.05810290595533378","0.2096882286750487","0.0031685406917725096","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc002tee.3","FLJ38668","0.07280239312819224","0.3543712317686591","0.005639726120919252","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc003zlc.1","FLJ41200","0.11848888662432243","1.1841214636636619","0.0008155370536364178","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc003wlo.2","LOC100132707","0.29938767405176114","2.1450473553182303","0.0009554580987916671","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc002ybl.2","LOC284757","0.036181317804392446","0.5454868970830248","0.004617632818342022","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001dmf.2","LOC339524","0.3605695213431624","2.0313468363287597","0.0027999469581195197","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc003aha.2","MGC20647","0.10320800997932472","0.8424651558946975","0.007739617597731755","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001glj.1","SEC16B","0.042461545658836926","0.2643700757707944","0.00933712738533998","TPM"
